MissionID,StageID,MissionTitle,MissionType,TargetValue,Description,S_Rank_Condition,A_Rank_Condition,B_Rank_Condition,C_Rank_Condition
M001,1,??觳橃箻,KILL_COUNT,10,?ろ厡?挫? 1?愳劀 ?侅潉 10毵堧Μ 觳橃箻?橃劯??10 ?挫儊,8 ?挫儊,5 ?挫儊,5 氙鸽,
M002,2,牍犽ゴ瓴??措Μ??CLEAR_TIME,180,180齑??措偞???措Μ?错晿?胳殧,150齑??错晿,180齑??错晿,210齑??错晿,210齑?齑堦臣,
M003,3,氍错敿???措Μ??NO_DAMAGE,0,?柬暣 ?嗢澊 ?措Μ?错晿?胳殧,?柬暣??0,?戩? ?柬暣,?堧皹 ?挫儊 觳措牓,? 歆侅爠,
M004,4,? ?标车,USE_PARRY,3,???3???标车?橃劯??3???标车,2???标车,1???标车,?ろ尐,
M005,5,?岉敿 ?欕牗,USE_DODGE,4,?岉敿 ?ろ偓??4???标车?橃劯??4???标车,3???标车,2???标车,攴?氙鸽,
M006,6,?嶋弰?� 觳橃箻,KILL_COUNT,15,180齑?????15毵堧Μ 觳橃箻,180齑???15毵堧Μ,180齑???12毵堧Μ,180齑???8毵堧Μ,攴?氙鸽
M007,7,?措灅???ろ偓 ?毄,USE_SKILL_TYPE,3,?轨爼 ?ろ偓??3???挫儊 ?毄?橃劯??3???挫儊,2??1??氙胳偓??,,,
M008,8,???办啀 觳橃箻,KILL_COUNT,20,欷戨嫧 ?嗢澊 ?侅潉 20毵堧Μ ?办啀 觳橃箻?橃劯??20毵堧Μ ?办啀,15毵堧Μ ?办啀,10毵堧Μ ?办啀,攴?氙鸽,
M009,9,?岉敿?� ?滉皠,USE_DODGE,5,?岉敿 5??+ ?滉皠 ???措Μ??5???标车 + 150齑??措偞,4???标车 + 180齑??措偞,2??+ 210齑?攴?氙鸽,,
M010,10,氤挫姢 觳橃箻,KILL_BOSS,1,氤挫姢毳?觳橃箻?橃劯?? ?ろ尐 ??瓴岇瀯?る矂!,氤挫姢 觳橃箻,-,-,?ろ尐 = 瓴岇瀯?る矂
